insula L-caudalanteriorcingulate R
middletemporal L-caudalanteriorcingulate R
parahippocampal L-caudalanteriorcingulate R
superiortemporal L-caudalanteriorcingulate R
temporalpole L-caudalanteriorcingulate R
transversetemporal L-caudalanteriorcingulate R
inferiorparietal L-caudalanteriorcingulate R
precuneus L-caudalanteriorcingulate R
superiorparietal L-caudalanteriorcingulate R
supramarginal L-caudalanteriorcingulate R
paracentral L-caudalanteriorcingulate R
postcentral L-caudalanteriorcingulate R
precentral L-caudalanteriorcingulate R
cuneus L-caudalanteriorcingulate R
lateraloccipital L-caudalanteriorcingulate R
lingual L-caudalanteriorcingulate R
pericalcarine L-caudalanteriorcingulate R
caudalanteriorcingulate L-isthmuscingulate R
isthmuscingulate L-isthmuscingulate R
posteriorcingulate L-isthmuscingulate R
rostralanteriorcingulate L-isthmuscingulate R
frontalpole L-isthmuscingulate R
lateralorbitofrontal L-isthmuscingulate R
medialorbitofrontal L-isthmuscingulate R
parsorbitalis L-isthmuscingulate R
caudalmiddlefrontal L-isthmuscingulate R
parsopercularis L-isthmuscingulate R
parstriangularis L-isthmuscingulate R
rostralmiddlefrontal L-isthmuscingulate R
superiorfrontal L-isthmuscingulate R
bankssts L-isthmuscingulate R
entorhinal L-isthmuscingulate R
fusiform L-isthmuscingulate R
inferiortemporal L-isthmuscingulate R
insula L-isthmuscingulate R
middletemporal L-isthmuscingulate R
parahippocampal L-isthmuscingulate R
superiortemporal L-isthmuscingulate R
temporalpole L-isthmuscingulate R
transversetemporal L-isthmuscingulate R
inferiorparietal L-isthmuscingulate R
precuneus L-isthmuscingulate R
superiorparietal L-isthmuscingulate R
supramarginal L-isthmuscingulate R
paracentral L-isthmuscingulate R
postcentral L-isthmuscingulate R
precentral L-isthmuscingulate R
cuneus L-isthmuscingulate R
lateraloccipital L-isthmuscingulate R
lingual L-isthmuscingulate R
pericalcarine L-isthmuscingulate R
caudalanteriorcingulate R-isthmuscingulate R
caudalanteriorcingulate L-posteriorcingulate R
isthmuscingulate L-posteriorcingulate R
posteriorcingulate L-posteriorcingulate R
rostralanteriorcingulate L-posteriorcingulate R
frontalpole L-posteriorcingulate R
lateralorbitofrontal L-posteriorcingulate R
medialorbitofrontal L-posteriorcingulate R
parsorbitalis L-posteriorcingulate R
caudalmiddlefrontal L-posteriorcingulate R
parsopercularis L-posteriorcingulate R
parstriangularis L-posteriorcingulate R
rostralmiddlefrontal L-posteriorcingulate R
superiorfrontal L-posteriorcingulate R
bankssts L-posteriorcingulate R
entorhinal L-posteriorcingulate R
fusiform L-posteriorcingulate R
inferiortemporal L-posteriorcingulate R
insula L-posteriorcingulate R
middletemporal L-posteriorcingulate R
parahippocampal L-posteriorcingulate R
superiortemporal L-posteriorcingulate R
temporalpole L-posteriorcingulate R
transversetemporal L-posteriorcingulate R
inferiorparietal L-posteriorcingulate R
precuneus L-posteriorcingulate R
superiorparietal L-posteriorcingulate R
supramarginal L-posteriorcingulate R
paracentral L-posteriorcingulate R
postcentral L-posteriorcingulate R
precentral L-posteriorcingulate R
cuneus L-posteriorcingulate R
lateraloccipital L-posteriorcingulate R
lingual L-posteriorcingulate R
pericalcarine L-posteriorcingulate R
caudalanteriorcingulate R-posteriorcingulate R
isthmuscingulate R-posteriorcingulate R
caudalanteriorcingulate L-rostralanteriorcingulate R
isthmuscingulate L-rostralanteriorcingulate R
